Provider Name,Address,City,Zipcode,Doses,Phone Number
Medical Center Of Dimmitt 300 W Halsell St,,Dimmitt,,100,
Brookshires Pharmacy 7 272 N. Marcus,,Alto,,100,
LHD Cherokee County Health Department (RE) 803 College Ave,,Jacksonville,,100,
Brookshires Pharmacy 17 210 E Cherokee St,,Jacksonville,,100,
Chapman Pharmacy 108 E 5th St,,Rusk,,100,
Childress Regional Medical Center 901 Highway 83 North,,Childress,,100,
Fox Rural Health Clinic 1001 Us Highway 83 N,,Childress,,100,
Clay County Memorial Hospital 310 W South St,,Henrietta,,200,
Cochran Memorial Hospital 201 E Grant Ave Ste 100,,Morton,,100,
Coleman Medical Associates 310 S Pecos St Fl 2,,Coleman,,100,
Fresenius Kideny Care of Allen 925 West Exchange Pkwy,,Allen,,100,
LifeCare Hospital of Plano 6800 Preston Road,,Plano,,100,
North Texas Hospital Physicians Group 6020 W Parker Rd,,Plano,,200,
Collingsworth Family Medicine 1011 15th St,,Wellington,,100,
Colorado County EMS 305 Radio Lane,,Columbus,,500,
New Braunfels Regional Rehabilitation Hospital 2041 Sundance Parkway,,New Braunfels,,100,
Comal County Public Health Office (Re) 1297 Church Hill Drive,,New Braunfels,,"2,000",
Health Hero America 244 Flightline,,Spring Branch,,300,
Brookshires Pharmacy 93 400 W Central Ave,,Comanche,,100,
Comanche County Medical Center 10201 Highway 16,,Comanche,,100,
CCH Pharmacy 614 Eaker St,,Eden,,100,
North Texas Medical Center 1900 Hospital Blvd,,Gainesville,,"1,000",
DSHS Gainesville 1714 Justice Center Blvd,,Gainesville,,100,
Muenster Memorial Hospital 605 N. Maple St.,,Muenster,,300,
Texas Department of Criminal Justice CRAIN 1401 Sate School Rd,,Gatesville,,100,
Texas Department of Criminal Justice Hughes 3201 FM 929,,Gatesville,,100,
Texas Department of Criminal Justice Murray 1916 N. Hwy 36 Bypass,,Gatesville,,100,
Gatesville Drug Company 2513 S State Hwy 36,,Gatesville,,100,
Crane County Rural Health Clinic 1310 S Alford St,,Crane,,100,
Crosbyton Clinic Hosptital 710 W Main St,,Crosbyton,,100,
Van Horn Rural Health Clinic Eisenhower Rd Fm 2185,,Van Horn,,100,
Foremost Family Hlth Ctr Balch Springs,3515 Shepherd Ln Balch Springs,,,100,
Texas Department of Criminal Justice Hutchins,1500 E. Langdon Rd. Dallas,,,100,
Los Barrios Unidos Community Clinic - Dallas 1,809 Singleton Blvd Dallas,,,100,
Los Barrios Unidos Community Clinic - Dallas 2,3111 Sylvan Ave Dallas,,,100,
Baylor Scott and White Institute for Rehabilitation,909 North Washington Avenue Dallas,,,200,
Methodist Dallas Medical Center,1441 N Beckley Ave Dallas,,,"1,170",
Parkland Health and Hospital System,5184 Tex Oak Ave. Ron J. Anderson B Dallas,,,100,
Cash Saver Pharmacy 19,2130 E Ledbetter Dr Dallas,,,100,
"Community, A Walgreens Pharmacy #21319","2515 Inwood Rd, Ste 113 Dallas",,,100,
Family Healthwatch,4041 W Wheatland Rd Ste 116 Dallas,,,-,
Md Kids Pediatrics - Lancaster/Kiest,3200 S. Lancaster Dallas,,,100,
Vibra Specialty Hospital of Desoto,2700 Walker Way Desoto,,,200,
Grand Prairie Fire Department,"1525 arkansas ln, 3rd floor Grand Prairie",,,500,
Agrace Pharma,721 W Tarrant Rd Grand Prairie,,,100,
Fresenius Medical Care Metro East Dialysis,909 gross rd Mesquite,,,100,
South Plains Public Health District - Lamesa,503 S 1st St Lamesa,,,200,
Hereford Health Clinic,540 W 15th St Hereford,,,100,
DSHS Hereford,600 N 25 Mile Ave Ste 500 Hereford,,,100,
Health Services Of North Texas,4304 Mesa Dr Denton,,,300,
Community Pharmacy - Denton - 4400 Teasley Lane,4400 Teasley Lane Denton,,,200,
Baylor Scott & White Medical Center Trophy Club,2850 East State Hwy 114 Roanoke,,,100,
Cuero Regional Hospital,2550 N. Esplanade Cuero,,,100,
Cuero-Dewitt County Health Department,115 N Gonzales St Ste B Cuero,,,200,
Carrizo Springs Kidney Disease Clinic,409 South 7th Street Carrizo Springs,,,100,
Clarendon Family Medical Center,1 Medical Center Drive Clarendon,,,100,
Brookshires Pharmacy 99,1010 Avenue E Cisco,,,100,
Davita Loma Vista Dialysis,1382 Lomaland Dr Ste A El Paso,,,100,
El Paso Gateway Dialysis,10767 Gateway Blvd W Ste 600 El Paso,,,100,
Cobalt Rehabilitation Hospital El Paso,1600 E. CLIFF DRIVE El Paso,,,100,
Legent Hospital of El Paso,1416 George Dieter Dr El Paso,,,100,
Rio Vista Behavioral Health,1390 North Western El Paso,,,200,
The Hospitals of Providence Memorial Campus,2001 N Oregon St El Paso,,,"1,000",
Wellmed Remcon,7430 Remcon Circle El Paso,,,400,
Medical Arts Kidney Center of Ennis,711 S. Clay Street Ennis,,,100,
Hope Clinic - Waxahachie,411 E Jefferson St Bldg B Waxahachie,,,100,
Erath County EMS,830 B East Rd Stephenville,,,"1,000",
Tarleton State University Student Health Services,600 N. Rome Stephenville,,,200,
Texas Department of Criminal Justice Hobby,742 FM 712 Marlin,,,100,
St. Marks Medical Center,One St. Marks Place La Grange,,,200,
Heb Pharmacy 416,450 E Travis St La Grange,,,200,
Fisher County Hospital District,774 State Highway 70 N Rotan,,,100,
Payne Family Pharmacy,200 S Main St Floydada,,,100,
Foard County Clinic,200 North 1st Street Crowell,,,100,
Texas Department of Criminal Justice Jester III,3 Jester Rd Richmond,,,100,
Fresenius Medical Care Brazos,1730 B F Terry Blvd Rosenberg,,,100,
St. Hope Foundation Sugar Land,14815 Southwest Fwy Sugar Land,,,300,
Memorial Hermann Sugar Land,17500 W Grand Pkwy S Sugar Land,,,"3,300",
Sugar Land Rehabilitation Hospital,1325 Highway 6 Sugar Land,,,200,
Brookshires Pharmacy 58,306 State Hwy 37 South Mount Vernon,,,200,
Franklin County Rural Health Clinic,506 Texas Highway 37,Mount Vernon,,100,
Freestone Medical Center DBA Freestone Health Clinic,734 West Commerce,Fairfield,,200,
South Tx Rural Health Services Inc - Pearsall,150 Medical Dr.,Pearsall,,200,
South Plains Public Health District - Seminole,704 Hobbs Highway,Seminole,,300,
Post-Garza Co EMS,902 N. Ave S,Post,,300,
Dshs Goliad,329 W. Franklin,Goliad,,100,
Memorial Hospital - Gonzales,Po Box 587,Gonzales,,300,
PAMPA REGIONAL MEDICAL CENTER,one medical plaza,Pampa,,100,
United Pharmacy 528,1420 NORTH HOBART,Pampa,,100,
Dshs Pampa,121 S Gillespie St,Pampa,,100,
Brookshires Pharmacy 127,11205 N State Hwy 289,Pottsboro,,100,
Heritage Park Surgical Hospital Llc,3601 N Calais St,Sherman,,100,
Grayson County Health Department-Sherman,515 North Walnut St.,Sherman,,100,
Axtells Rite-Value Pharmacy Inc.,304 1/2 Charlie St,Whitesboro,,100,
Grimes St Joseph Health Center,210 S Judson St,Navasota,,100,
Brookshires Pharmacy 6,309 N La Salle St,Navasota,,100,
Dshs Navasota,513 N La Salle St,Navasota,,200,
City of Schertz EMS,1400 Schertz Parkway,Schertz,,"1,170",
Kellum Family Medicine,3401 Fm 3009,Schertz,,500,
Guadalupe Regional Medical Center,1215 E Court,Seguin,,"1,000",
Covenant Hospital Plainview,2601 Dimmitt Rd,Plainview,,200,
Hamilton General Hospital,400 N Brown St,Hamilton,,200,
Hansford County Hospital District (Hospital),707 Roland St,Spearman,,200,
Hardeman County Clinic,404 Mercer St,Quanah,,200,
Biomedical Applications of Texas,2202 Rollingbrook,Baytown,,100,
CHANNELVIEW PHARMACY LLC,441 SHELDON RD.,Channelview,,100,
Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,Houston,,800,
University of Houston Student Health Center,4849 Calhoun Rd.,Houston,,"1,000",
Acres Home Health Center,818 Ringold St,Houston,,400,
Mlk Health Center - Houston,3550 Swingle Rd,Houston,,500,
UTP Comprehensive Sickle Cell Center,1200 Binz St Ste 850,Houston,,200,
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.",4740 West Bellfort,Houston,,100,
Fresenius Kidney Care,2254 holcombe blvd,Houston,,100,
Fresenius Medical Care Cypress Fairbanks Dialysis,10505 Jones Road,Houston,,100,
TC JESTER DIALYSIS,1800 W 26TH ST,Houston,,100,
HEALTHCARE FOR THE HOMELESS-HOUSTON,1934 CAROLINE ST,Houston,,200,
Houston Community Health Centers,424 Hahlo Street,Houston,,100,
Lone Star Circle Of Care At The University Of Houston,4849 Calhoun Road,Houston,,300,
Aldine Health Center,4755 Aldine Mail Route Rd,Houston,,400,
Ben Taub General Hospital,1504 Taub Loop,Houston,,"5,850",
COBALT REHABILITATION HOUSTON HEIGHTS HOSPITAL,1917 ASHLAND ST,Houston,,100,
Encompass Health Rehabilitation Hospital Cypress,13031 Wortham Center Drive,Houston,,100,
Encompass Rehabilitation Hospital The Vintage,20180 Chasewood Park Drive,Houston,,200,
Lbj Hospital - Harris County Hospital District,5656 Kelley St,Houston,,"5,850",
New Horizon Hospital,17506 Red Oak Dr,Houston,,200,
United Memorial Medical Center,510 West Tidwell Road,Houston,,"2,340",
UT MD Anderson Cancer Center,1515 Holcombe Blvd,Houston,,"2,340",
COH Northside Health Center,8504 Schuller,Houston,,600,
La Nueva Casa De Amigos Health Center,1809 N Main St,Houston,,600,
Sharpstown Health Services 6201 Bonhomme,,Houston,,600,
Sunnyside Health Center 4605 Wilmington St,,Houston,,600,
Next Level Urgent Care Attucks 4330 Belfort Street,,Houston,,500,
HealthQuest Infusion Services 1311 W. Sam Houston Pkwy N.,,Houston,,100,
Legacy Community Health Pharmacy Lyons 3811 Lyons Ave,,Houston,,300,
Walgreens Pharmacy 02135 6610 Tidwell Rd,,Houston,,200,
Centra Clinic 3751 South Dairy Ashford Road,,Houston,,500,
Gordon Crofoot MD PA 3701 Kirby Dr.,,Houston,,100,
Wellmed East Alief 9380 W Sam Houston Pkwy,,Houston,,400,
Encompass Health Rehabilitation Hospital of Humble 19002 McKay Dr.,,Humble,,200,
Post Acute Medical Rehabilitation Hospital Of Humble 18839 Mckay Drive,,Humble,,200,
"Southeast Texas Medical Ventures, LLC 1475 FM 1960 BYPASS E",,Humble,,100,
Harris County Emergency Services District 48 Fire 21201 Morton Road,,Katy,,200,
Kelsey-Seybold Clinic - West Grand Parkway 2510 W. Grand Parkway N.,,Katy,,300,
Texas Vaccine Institute 21811 Katy Fwy Ste D102,,Katy,,500,
Fresenius Medical Care 4901 East Sam Houston Pkwy S.,,Pasadena,,100,
Vista Community Medical Center Llp - Pasadena - 4301 Vista 4301 Vista Rd,,Pasadena,,200,
"North Houston Surgical Hospital, LLC 20635 Kuykendahl Rd",,Spring,,200,
Northwest Houston Heart Center 308 Holderrieth Blvd,,Tomball,,500,
Houston Physicians Hospital 333 N. Texas Ave,,Webster,,200,
Pam Rehabilitation Hospital Clear Lake North 655 E Medical Center Blvd,,Webster,,200,
Pam Rehabilitation Hospital Of Clear Lake Main 110 East Medical Center Boulevard,,Webster,,200,
Brookshires Pharmacy 130 590 W Main St,,Hallsville,,100,
East Texas Border Health Clinic dbs Genesis PrimeCare - Mars805 Lindsey Drive,,Marshall,,100,
Marshall-Harrison County Health District (Re) 805 Lindsey Dr,,Marshall,,400,
Haskell Memorial Hospital Clinic 1400 S 1st St,,Haskell,,100,
The Drug Store 100 S Avenue E,,Haskell,,100,
HEB Pharmacy 477 15300 Ih 35 S,,Buda,,200,
Walgreens Pharmacy 10841 1660 Main St,,Buda,,200,
Walmart Pharmacy 4219 690 Old San Antonio Rd,,Buda,,200,
HEB Pharmacy 611 598 E Hwy Us 290,,Dripping Springs,,200,
Walgreens Pharmacy 12029 27495 Rr 12,,Dripping Springs,,200,
HEB Pharmacy 14 5401 South Fm 1626,,Kyle,,200,
Heb Pharmacy 243 641 E Hopkins St,,San Marcos,,200,
Walgreens Pharmacy 04550 639 E Hopkins St,,San Marcos,,200,
Walgreens Pharmacy 12521 1700 Rr 12,,San Marcos,,200,
Live Oak Health Partners Comm Cl 401 Broadway St Ste A,,San Marcos,,200,
HEB Pharmacy 708 14501 Ranch Road 12,,Wimberley,,200,
Hemphill County Hospital 1020 S.4th,,Canadian,,100,
"Renal Care Group Texas, Inc 1220 S Palestine",,Athens,,100,
Family Circle Of Care Athens 1001 N Palestine St,,Athens,,200,
Ut Health East Texas Athens 2000 S Palestine St # 40024,,Athens,,200,
Brookshire's Pharmacy 011 807 E Tyler St,,Athens,,100,
Christus Trinity Mother Frances 1505 Hwy 19 S,,Athens,,200,
Lakeland 117 Medical Circle,,Athens,,200,
Brookshires Pharmacy 84 703 HWY 31 E,,Chandler,,100,
Brookshires Pharmacy 68 210 S Seven Points Dr,,Kemp,,100,
Brookshires Pharmacy 064 1200 S 3rd St,,Mabank,,100,
Lakeland Medical Associates - Tvfc 040207 170 Municipal Dr,,Mabank,,200,
Wellmed Crossroads,1301 E Fern,McAllen,,400,
Nuestra Clinica Del Valle - Mission,611 N Bryan Rd,Mission,,100,
Hill Regional Hospital,101 Circle Dr,Hillsboro,,400,
Dshs Hillsboro,605 S Ivy St Ste 200,Hillsboro,,200,
COVENANT HOSPITAL LEVELLAND,1900 College Avenue,Levelland,,200,
Levelland Clinic North,103 John Dupree Dr,Levelland,,200,
Granbury Hood County EMS Inc,2200 Commercial Ln,Granbury,,"1,500",
DSHS Granbury,214 N Travis St,Granbury,,100,
Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,,100,
Christus Trinity Clinic - Sulphur Springs,"105 Medical Plaza, Building 1",Sulphur Springs,,200,
Brookshires Pharmacy 85,401 N 4th St,Crockett,,100,
Davy Crockett Drug Inc,107 S 4th St,Crockett,,100,
Brookshires Pharmacy 112,1111 N Hwy 287,Grapeland,,100,
Scenic Mountain Medical Ctr,1601 W 11th Pl,Big Spring,,400,
Project Vida Health Center,561 S. Knox,Fort Hancock,,100,
Hunt Regional Medical Center,4215 Joe Ramsey Blvd E,Greenville,,"1,000",
High Plains Family Medicine,104 N Bryan St,Borger,,200,
Jack County Medical Clinic,215 Chisholm Trail,Jacksboro,,300,
Jackson County Hospital District,1013 S Wells,Edna,,100,
Rogers Pharmacy #6,"1013 S Wells St,",Edna,,100,
Jeff Davis County Ambulance,200 Court Ave,Fort Davis,,100,
Beaumont Kidney Center,1085 S 23rd St,Beaumont,,100,
PAM REHABILITATION HOSPITAL OF BEAUMONT,3340 Plaza 10 Blvd,Beaumont,,200,
Gateway Community Health Center Inc. - Hebbronville,473 State Highway 285,Hebbronville,,100,
Burleson Public Health Authority,828 sw alsbury,Burleson,,"3,000",
Anson General Hospital,101 Avenue J,Anson,,100,
DSHS Anson,2062 Us Hwy 277 North,Anson,,100,
Texas Department of Criminal Justice CONNALLY,899 FM 632,Kenedy,,100,
Otto Kaiser Memorial Hopsital,3349 South Highway 181,Kenedy,,300,
Brookshires Pharmacy 89,427 PINSON ROAD,Forney,,200,
Kroger Pharmacy 579,500 Marketplace Blvd,Forney,,200,
Brookshires Pharmacy 035,2235 S Washington St,Kaufman,,200,
DSHS Kaufman,2525 E. Hwy 175,Kaufman,,200,
Terrell Fire Department,201 East Nash Street,Terrell,,"3,000",
Brookshires Pharmacy 023,1400 W. Moore St.,Terrell,,300,
Kendall County EMS,1175 N MAIN,Boerne,,500,
HEB Pharmacy 621,420 W Bandera,Boerne,,100,
Peterson Regional Medical Center - Kerrville,551 Hill Country Dr,Kerrville,,500,
Kimble Hospital,349 Reid Rd,Junction,,200,
United Medical Centers #2,202 James Street,Brackettville,,100,
Knox County Hospital,701 Se 5th St,Knox City,,100,
Lamb Healthcare Center,1500 S Sunset Ave,Littlefield,,200,
Lhc Family Medicine - Dr Cindy George,1600 S Sunset Ave. A,Littlefield,,100,
Advent Health Rollins Brook Hospital,608 North Key Avenue,Lampasas,,200,
AdventHelath Family Medicine Rural Health Clinics,187 PR 4060,Lampasas,,200,
Lavaca Medical Center,1400 N Texana St,Hallettsville,,200,
Brookshires Pharmacy 74 - Hallettsville,1514 N Texana St,Hallettsville,,100,
Lavaca Family Health Clinic,1406 North Texana,Hallettsville,,300,
Brookshires Pharmacy 37,513 E Austin St,Giddings,,100,
Pieratt's Pharmacy,233 S. Manse,Giddings,,200,
Brookshires Pharmacy 54 - Buffalo,1220 W Commerce,Buffalo,,100,
Brookshires Pharmacy 26,1117 N Main St,Jewett,,100,
Dshs Cleveland Clinic,300 Campbell St,Cleveland,,100,
Limestone Medical Center,701 Mcclintic Dr,Groesbeck,,100,
Family Medicine Center - Groesbeck,701 Mcclintic Dr,Groesbeck,,100,
Parkview Regional Hospital,600 S Bonham St,Mexia,,200,
Teare Memorial Clinic,146 Pioneer Dr,Booker,,100,
Live Oak County Health Department,301 Houston St Annex Bldg Rm 10,George West,,200,
Corner Drug,600 Bessemer Ave,Llano,,100,
Hill Country Direct Care,904 Ford St,Llano,,300,
Joe Arrington Cancer Center,4101 22nd Place,Lubbock,,200,
Lubbock Vascular Access Center,1126 Slide Rd,Lubbock,,100,
Dshs Phr 1 Hq - Lubbock (Re),6302 Iola Ave,Lubbock,,300,
Family Wellness Clinic,1809 Lockwood Ave,Tahoka,,100,
Chi St. Joseph Madison Hospital,100 W Cross St,Madisonville,,100,
Texas Department of Criminal Justice FERGUSON,12120 Savage Dr,Midway,,100,
"HEALTHIER WAY FAMILY CARE, PLLC",110 N WALNUT ST,Jefferson,,100,
Martin County Hospital District,600 Interstate 20 East,Stanton,,100,
Frontera Healthcare Network Mason Clinic,216 E College,Mason,,100,
Matagorda Regional Medical Center,104 7th Street,Bay City,,300,
Dshs Hsr 6/5s-Bay City,1700 Merlin St,Bay City,,100,
Palacios Medical Clinic,307 Green Ave.,Palacios,,300,
Frontera Healthcare-Brady,2205 S Bridge St Ste 300,Brady,,200,
Mcmullen Community Health Center,203 Hackberry St,Tilden,,100,
Medina Regional Hospital,3100 Avenue E,Hondo,,300,
LHD Medina CO Health Dept (RE),1206 15th St,Hondo,,300,
Frontera Clinic-Menard,119 S. Ellis,Menard,,100,
DSHS Midland,1101 N. Midland Dr.,Midland,,300,
LHD MILAM CO HEALTH DEPT (RE),209 S. Houston Ave,Cameron,,300,
Mills County Medical Clinic - Mills county,1510 Hanna Valley Rd,Goldthwaite,,200,
Mitchell County Hospital,997 W I20,Colorado City,,300,
Nocona General Hospital,100 Park Rd,Nocona,,100,
Sam Houston State University Dba Shsu Physicians,690 S Loop 336 W Ste 200,Conroe,,100,
Encompass Health Rehabilitation Hospital of The Wo,18550 IH 45 South,Conroe,,200,
Encompass Health Rehabilitation Hospital Vision Pa,117 Vision Park,Conroe,,300,
Solara Hospital Conroe,1500 Grand Lake Dr,Conroe,,100,
Montgomery County Phd,1300 S Loop 336 W,Conroe,,"2,500",
Kroger Pharmacy 136,341 S Loop 336 W,Conroe,,200,
Magnolia Pharmacy,18230 Fm 1488 Rd Ste 100,Magnolia,,500,
Kroger Pharmacy 142,20168 Eva St,Montgomery,,200,
Kroger Pharmacy 138,22030 Market Place Dr,New Caney,,200,
Fresenius Kidney Care Cypress Creek,9449 Grogans Mill Rd,Spring,,100,
Kroger Pharmacy 137,3731 Riley Fuzzel Rd,Spring,,200,
Moore County Hospital District,224 E 2nd St,Dumas,,200,
Dshs Dumas,501 Success Blvd,Dumas,,100,
Brookshires Pharmacy 109,609 Linda Dr,Daingerfield,,100,
Nacogdoches Memorial Hosp Care 1st,1106 South St,Nacogdoches,,300,
East Texas Community Health Services,1309 S. University Dr.,Nacogdoches,,200,
Nacogdoches Memorial Hospital 1204 N Mound St,,Nacogdoches,,500,
Fresenius Medical Care Corsicana 1321 w 2nd ave,,Corsicana,,100,
Jasper-Newton County Phd (Newton) 210 High St,,Newton,,300,
Rolling Plains Memorial Hospital Employee And Patients 200 E Arizona,,Sweetwater,,100,
Lhd Sweetwater-Nolan Co Health Dept (Re) 301 E 12th St,,Sweetwater,,200,
Christus Spohn Health System Shoreline 600 Elizabeth St,,Corpus Christi,,500,
Wellmed Morgan 2922 Morgan Avenue,,Corpus Christi,,400,
